,band,instrument,mjd,magpsf,sigmamagpsf
0,ZTF_g,P48+ZTF,58326.1889468,99,99
1,ZTF_r,P48+ZTF,58219.5157176,99,99
2,ZTF_g,P48+ZTF,58541.4219213,99,99
3,ZTF_i,P48+ZTF,58302.1787963,99,99
4,ZTF_g,P48+ZTF,58560.5054745,99,99
5,ZTF_g,P48+ZTF,58246.360787,99,99
6,ZTF_r,P48+ZTF,58371.1847569,99,99
7,ZTF_g,P48+ZTF,58583.3993866,99,99
8,ZTF_r,P48+ZTF,58276.3129514,99,99
9,ZTF_g,P48+ZTF,58319.1693403,99,99
10,ZTF_r,P48+ZTF,58246.382338,99,99
11,ZTF_g,P48+ZTF,58540.4571181,99,99
12,ZTF_r,P48+ZTF,58671.1915509,18.0690880305912,0.013596821025827
13,ZTF_r,P48+ZTF,58367.2076273,99,99
14,ZTF_g,P48+ZTF,58569.4576852,99,99
15,ZTF_r,P48+ZTF,58326.293287,99,99
16,ZTF_r,P48+ZTF,58369.143044,99,99
17,ZTF_r,P48+ZTF,58298.2760185,99,99
18,ZTF_g,P48+ZTF,58281.2732176,99,99
19,ZTF_r,P48+ZTF,58257.2949653,99,99
20,ZTF_r,P48+ZTF,58222.3878472,99,99
21,ZTF_g,P48+ZTF,58247.317037,99,99
22,ZTF_g,P48+ZTF,58299.1898148,99,99
23,ZTF_g,P48+ZTF,58281.2563426,99,99
24,ZTF_i,P48+ZTF,59009.3165394,18.7494946816278,0.052637762204516
25,ZTF_r,P48+ZTF,58273.3625116,99,99
26,ZTF_g,P48+ZTF,58274.2907523,99,99
27,ZTF_r,P48+ZTF,58694.2087269,18.0781454398711,0.012873475155589
28,ZTF_g,P48+ZTF,58262.4352315,99,99
29,ZTF_r,P48+ZTF,58324.2101505,99,99
30,ZTF_g,P48+ZTF,58278.3587963,99,99
31,ZTF_g,P48+ZTF,58331.2700694,99,99
32,ZTF_g,P48+ZTF,58314.316169,99,99
33,ZTF_r,P48+ZTF,58278.2941319,99,99
34,ZTF_g,P48+ZTF,58272.2528125,99,99
35,ZTF_g,P48+ZTF,58567.5019907,99,99
36,ZTF_r,P48+ZTF,58299.3804051,99,99
37,ZTF_r,P48+ZTF,58299.3552315,99,99
38,ZTF_r,P48+ZTF,58333.1615741,99,99
39,ZTF_g,P48+ZTF,58255.4172917,99,99
40,ZTF_g,P48+ZTF,58324.2941088,99,99
41,ZTF_r,P48+ZTF,58222.475463,99,99
42,ZTF_r,P48+ZTF,58315.3161921,99,99
43,ZTF_g,P48+ZTF,58279.3398843,99,99
44,ZTF_g,P48+ZTF,58547.4045486,99,99
45,ZTF_r,P48+ZTF,58632.3015509,18.657524762577,0.024579249647471
46,ZTF_g,P48+ZTF,58368.1916435,99,99
47,ZTF_r,P48+ZTF,58637.3346991,18.5195964300859,0.015059379715235
48,ZTF_r,P48+ZTF,58511.5460185,99,99
49,ZTF_g,P48+ZTF,58675.3543056,18.3000168930721,0.016326547624598
50,ZTF_g,P48+ZTF,58641.1954977,18.4491106554944,0.020005135466301
51,ZTF_i,P48+ZTF,58648.3070949,18.2320625368774,0.030550048390479
52,ZTF_g,P48+ZTF,58378.208044,99,99
53,ZTF_r,P48+ZTF,58700.1730556,18.0083035952341,0.010134910139413
54,ZTF_i,P48+ZTF,58690.3285995,17.9654970740608,0.016258848440067
55,ZTF_r,P48+ZTF,58638.310625,18.5292882457445,0.015371534110156
56,ZTF_i,P48+ZTF,58703.163669,17.9051581850576,0.022341253792586
57,ZTF_g,P48+ZTF,58638.3525926,18.5861697648817,0.015148315223035
58,ZTF_r,P48+ZTF,58360.2196065,99,99
59,ZTF_i,P48+ZTF,58710.2327083,17.8401523757331,0.028532933888381
60,ZTF_r,P48+ZTF,58327.2935069,99,99
61,ZTF_g,P48+ZTF,58708.3500347,18.2224823520667,0.056678756289075
62,ZTF_r,P48+ZTF,58660.2474884,18.1332067091207,0.010745492806689
63,ZTF_r,P48+ZTF,58666.252963,18.1641771909523,0.012150525022615
64,ZTF_g,P48+ZTF,58389.1303935,99,99
65,ZTF_g,P48+ZTF,58734.1862153,18.517477597648,0.040550780908682
66,ZTF_g,P48+ZTF,58386.1498727,99,99
67,ZTF_g,P48+ZTF,58666.2137153,18.278465614878,0.010929676961227
68,ZTF_i,P48+ZTF,58644.2364699,18.3149134449757,0.028830961237357
69,ZTF_r,P48+ZTF,58353.2697569,99,99
70,ZTF_r,P48+ZTF,58371.1490625,99,99
71,ZTF_g,P48+ZTF,58696.2603819,18.2033732328152,0.01139621589335
72,ZTF_r,P48+ZTF,58618.3364931,19.1442758005658,0.076425806181463
73,ZTF_g,P48+ZTF,58390.1242593,99,99
74,ZTF_g,P48+ZTF,58381.2108796,99,99
75,ZTF_g,P48+ZTF,58572.4850231,99,99
76,ZTF_g,P48+ZTF,58666.2128009,18.241319392991,0.011686799020631
77,ZTF_r,P48+ZTF,58303.3524421,99,99
78,ZTF_g,P48+ZTF,58561.5229861,99,99
79,ZTF_r,P48+ZTF,58572.4751042,99,99
80,ZTF_g,P48+ZTF,58558.4419792,99,99
81,ZTF_g,P48+ZTF,58244.4216204,99,99
82,ZTF_g,P48+ZTF,58575.5234259,99,99
83,ZTF_i,P48+ZTF,58348.1839583,99,99
84,ZTF_r,P48+ZTF,58503.5119676,99,99
85,ZTF_r,P48+ZTF,58587.3803704,99,99
86,ZTF_r,P48+ZTF,58628.3772454,18.7703770998475,0.024608688994931
87,ZTF_g,P48+ZTF,58711.1488079,18.1617855861007,0.023700161212735
88,ZTF_r,P48+ZTF,58557.4351505,99,99
89,ZTF_r,P48+ZTF,58311.1919676,99,99
90,ZTF_g,P48+ZTF,58236.3087384,99,99
91,ZTF_g,P48+ZTF,58740.1215972,18.5436929985457,0.048514865103113
92,ZTF_g,P48+ZTF,58758.1289468,18.7333823479686,0.028174802994618
93,ZTF_g,P48+ZTF,58289.3800463,99,99
94,ZTF_r,P48+ZTF,58568.5013889,99,99
95,ZTF_r,P48+ZTF,58219.4065625,99,99
96,ZTF_r,P48+ZTF,58593.3368519,99,99
97,ZTF_g,P48+ZTF,58684.2120833,18.3020181927308,0.01438328699454
98,ZTF_r,P48+ZTF,58608.4945255,20.4894042496499,0.133988117996359
99,ZTF_r,P48+ZTF,58655.3168287,18.3517285343462,0.034507590162507
100,ZTF_r,P48+ZTF,58606.3095255,20.5128237073623,0.147238075209312
101,ZTF_r,P48+ZTF,58651.3514468,18.2887303087961,0.038627836340332
102,ZTF_r,P48+ZTF,58646.2460764,18.3825661319795,0.034132557534296
103,ZTF_r,P48+ZTF,58280.3506366,99,99
104,ZTF_r,P48+ZTF,58324.2110764,99,99
105,ZTF_r,P48+ZTF,58282.3378704,99,99
106,ZTF_r,P48+ZTF,58257.3994444,99,99
107,ZTF_r,P48+ZTF,58282.3157292,99,99
108,ZTF_r,P48+ZTF,58281.3730787,99,99
109,ZTF_g,P48+ZTF,58324.2915162,99,99
110,ZTF_r,P48+ZTF,58255.2959722,99,99
111,ZTF_g,P48+ZTF,58574.5039815,99,99
112,ZTF_g,P48+ZTF,58281.383287,99,99
113,ZTF_r,P48+ZTF,58650.2937616,18.1953477716354,0.028689897580737
114,ZTF_r,P48+ZTF,58321.2527662,99,99
115,ZTF_r,P48+ZTF,58217.482963,99,99
116,ZTF_r,P48+ZTF,58647.2551273,18.2849125182327,0.021626629259782
117,ZTF_g,P48+ZTF,58580.4398727,99,99
118,ZTF_r,P48+ZTF,58275.336794,99,99
119,ZTF_r,P48+ZTF,58351.1657755,99,99
120,ZTF_r,P48+ZTF,58323.2243866,99,99
121,ZTF_g,P48+ZTF,58236.4620023,99,99
122,ZTF_g,P48+ZTF,58541.4603009,99,99
123,ZTF_r,P48+ZTF,58356.2540741,99,99
124,ZTF_g,P48+ZTF,58327.1889005,99,99
125,ZTF_g,P48+ZTF,58249.3958102,99,99
126,ZTF_g,P48+ZTF,58727.1510764,18.3461530053437,0.01392534092449
127,ZTF_g,P48+ZTF,58781.1121644,18.8522755927668,0.068362301389494
128,ZTF_g,P48+ZTF,58277.3564815,99,99
129,ZTF_r,P48+ZTF,58682.289294,18.2388518960032,0.024945146420101
130,ZTF_g,P48+ZTF,58361.1507176,99,99
131,ZTF_r,P48+ZTF,58582.4039352,99,99
132,ZTF_r,P48+ZTF,58349.2496528,99,99
133,ZTF_r,P48+ZTF,58357.2859722,99,99
134,ZTF_r,P48+ZTF,58560.4579745,99,99
135,ZTF_r,P48+ZTF,58556.5059028,99,99
136,ZTF_r,P48+ZTF,58367.1658102,99,99
137,ZTF_g,P48+ZTF,58654.2754745,18.3270098819939,0.029180529666001
138,ZTF_g,P48+ZTF,58511.5048727,99,99
139,ZTF_r,P48+ZTF,58713.2361458,18.034517395547,0.039305365917203
140,ZTF_g,P48+ZTF,58582.3955324,99,99
141,ZTF_g,P48+ZTF,58378.171794,99,99
142,ZTF_r,P48+ZTF,58351.1859954,99,99
143,ZTF_g,P48+ZTF,58632.3375579,18.6331618740167,0.015597098186461
144,ZTF_i,P48+ZTF,59028.3146412,18.8248379003263,0.040394455820226
145,ZTF_r,P48+ZTF,58669.3165625,18.1287184883768,0.011736736202098
146,ZTF_r,P48+ZTF,58781.0906713,18.6560954274839,0.074690513179051
147,ZTF_r,P48+ZTF,58635.3790972,18.5826660156935,0.013706049375778
148,ZTF_r,P48+ZTF,58681.2790278,18.1269789852378,0.026253414486318
149,ZTF_g,P48+ZTF,58365.2133333,99,99
150,ZTF_i,P48+ZTF,58725.2294097,17.934222762865,0.018667375143345
151,ZTF_g,P48+ZTF,58360.1650347,99,99
152,ZTF_g,P48+ZTF,58366.1970139,99,99
153,ZTF_g,P48+ZTF,58378.1496528,99,99
154,ZTF_r,P48+ZTF,58617.3586574,19.3228818904429,0.050480953273664
155,ZTF_r,P48+ZTF,58612.4211574,19.7089669501754,0.038945158779013
156,ZTF_g,P48+ZTF,58351.2870139,99,99
157,ZTF_r,P48+ZTF,58725.2375347,18.1707727854172,0.015587973102271
158,ZTF_r,P48+ZTF,58605.4013426,20.5610783108132,0.106715651227962
159,ZTF_r,P48+ZTF,58605.3794097,20.6739461245566,0.140103495271623
160,ZTF_g,P48+ZTF,58373.2063079,99,99
161,ZTF_r,P48+ZTF,58354.2103241,99,99
162,ZTF_i,P48+ZTF,59036.3256829,18.8472994813896,0.055838771559553
163,ZTF_r,P48+ZTF,58632.2739236,18.6479786169654,0.021732426049319
164,ZTF_r,P48+ZTF,58374.1293634,99,99
165,ZTF_g,P48+ZTF,58737.129456,18.5926350112819,0.045625393095192
166,ZTF_r,P48+ZTF,59000.3339931,19.4421316231205,0.085053776960447
167,ZTF_r,P48+ZTF,58327.2740046,99,99
168,ZTF_g,P48+ZTF,58596.4818056,99,99
169,ZTF_i,P48+ZTF,59001.3316898,18.6319578391019,0.032732110431318
170,ZTF g,P48+ZTF,58208.5071875,99,99
171,ZTF_g,P48+ZTF,58572.5013542,99,99
172,ZTF_g,P48+ZTF,58301.299838,99,99
173,ZTF_r,P48+ZTF,58304.3516088,99,99
174,ZTF_g,P48+ZTF,58684.1913657,18.2754936315384,0.011602873645229
175,ZTF_r,P48+ZTF,58711.3109491,18.0565534872707,0.031154033022731
176,ZTF_i,P48+ZTF,58556.5388542,99,99
177,ZTF_r,P48+ZTF,58374.1477083,99,99
178,ZTF_g,P48+ZTF,58320.4042014,99,99
179,ZTF_g,P48+ZTF,58745.1319097,18.6297512138223,0.019083379892606
180,ZTF_i,P48+ZTF,58561.4647454,99,99
181,ZTF_r,P48+ZTF,58684.1728935,18.1004884973021,0.012748726003455
182,ZTF_g,P48+ZTF,58377.2060995,99,99
183,ZTF_g,P48+ZTF,58616.4556597,19.4180649805109,0.02781957312904
184,ZTF_r,P48+ZTF,58377.1504398,99,99
185,ZTF_r,P48+ZTF,58356.2484838,99,99
186,ZTF_r,P48+ZTF,58556.5068171,99,99
187,ZTF_g,P48+ZTF,58703.1986458,18.1882209875899,0.020630277898253
188,ZTF_r,P48+ZTF,58368.1497801,99,99
189,ZTF_g,P48+ZTF,58742.1456829,18.5974130728885,0.047353902118422
190,ZTF_r,P48+ZTF,58697.1576736,17.9880308767673,0.015410083619412
191,ZTF_r,P48+ZTF,58368.1319792,99,99
192,ZTF_g,P48+ZTF,58635.4200694,18.6109842482432,0.014120492621739
193,ZTF_g,P48+ZTF,58691.3104745,18.2609274624751,0.011844267723483
194,ZTF_i,P48+ZTF,58679.2546528,18.011134659053,0.019648546659501
195,ZTF_g,P48+ZTF,58360.1390278,99,99
196,ZTF_r,P48+ZTF,58585.4241204,99,99
197,ZTF_i,P48+ZTF,58596.3803472,99,99
198,ZTF_g,P48+ZTF,58616.4630787,19.4451946345946,0.028876142703301
199,ZTF_r,P48+ZTF,58353.16875,99,99
200,ZTF_r,P48+ZTF,58371.1303588,99,99
201,ZTF_g,P48+ZTF,58318.3955556,99,99
202,ZTF_r,P48+ZTF,58724.1643287,18.1392275191825,0.012027908570802
203,ZTF_i,P48+ZTF,59080.2476852,19.0487503683641,0.052911803409373
204,ZTF_r,P48+ZTF,58361.2566551,99,99
205,ZTF_r,P48+ZTF,58635.358125,18.578689290701,0.016317150390768
206,ZTF_r,P48+ZTF,58607.3783449,20.1839808425895,0.073420739108563
207,ZTF_r,P48+ZTF,58597.401169,99,99
208,ZTF_g,P48+ZTF,58235.4773148,99,99
209,ZTF_r,P48+ZTF,58302.335463,99,99
210,ZTF_i,P48+ZTF,59059.2527315,19.0239355374928,0.059216501292041
211,ZTF_g,P48+ZTF,58539.4749421,99,99
212,ZTF_g,P48+ZTF,58326.1658333,99,99
213,ZTF_r,P48+ZTF,58219.4465972,99,99
214,ZTF_g,P48+ZTF,58249.3589583,99,99
215,ZTF_g,P48+ZTF,58313.3542708,99,99
216,ZTF_r,P48+ZTF,58714.1457407,18.0229121351024,0.014732002278826
217,ZTF_r,P48+ZTF,58216.3783218,99,99
218,ZTF_g,P48+ZTF,58277.3156713,99,99
219,ZTF_g,P48+ZTF,58585.3890046,99,99
220,ZTF_g,P48+ZTF,58235.4782986,99,99
221,ZTF_r,P48+ZTF,58278.2742593,99,99
222,ZTF_r,P48+ZTF,58218.4503356,99,99
223,ZTF_r,P48+ZTF,58277.3788194,99,99
224,ZTF_r,P48+ZTF,58218.481875,99,99
225,ZTF_g,P48+ZTF,58660.1730208,18.2578836518794,0.025397509079165
226,ZTF_r,P48+ZTF,58644.3137153,18.3259354557058,0.016096112181893
227,ZTF_g,P48+ZTF,58660.2034259,18.3128925868172,0.011672117911146
228,ZTF_r,P48+ZTF,58641.2942014,18.4066212480784,0.012727830220022
229,ZTF_r,P48+ZTF,58572.4339468,99,99
230,ZTF_g,P48+ZTF,58599.2523843,21.4641751988413,0.172457610184376
231,ZTF_g,P48+ZTF,58586.4584954,99,99
232,ZTF_r,P48+ZTF,58740.2639815,18.4007245550281,0.075815678821659
233,ZTF_r,P48+ZTF,58597.4284838,99,99
234,ZTF_r,P48+ZTF,58641.3326389,18.4343293742494,0.012702411674851
235,ZTF_r,P48+ZTF,58561.4346644,99,99
236,ZTF_r,P48+ZTF,58740.2630787,18.3313106149996,0.065867470155617
237,ZTF_g,P48+ZTF,58608.4031713,20.1936138236146,0.069332711913599
238,ZTF_g,P48+ZTF,58645.407963,18.3402623978567,0.012755791429825
239,ZTF_r,P48+ZTF,58638.288287,18.4650330206852,0.01410525388716
240,ZTF_r,P48+ZTF,58669.3280903,18.1371873228692,0.01046058547497
241,ZTF_r,P48+ZTF,58646.2513079,18.2994461051882,0.019036700485323
242,ZTF_r,P48+ZTF,58644.2973958,18.2715032816669,0.016287496783241
243,ZTF_i,P48+ZTF,59053.2529051,18.8538188605086,0.032208322985989
244,ZTF_r,P48+ZTF,58608.3591319,20.0402124485418,0.092534056636458
245,ZTF_g,P48+ZTF,58618.4640509,99,99
246,ZTF_g,P48+ZTF,58727.1492593,18.4120958570319,0.016760115176968
247,ZTF_g,P48+ZTF,58647.3385995,18.3399996061093,0.023510032844298
248,ZTF_i,P48+ZTF,59041.1712616,18.8643406977954,0.048490373246502
249,ZTF_i,P48+ZTF,58675.2184954,17.977391468661,0.019153187172174
250,ZTF_g,P48+ZTF,58721.1536227,99,99
251,ZTF_i,P48+ZTF,58719.163125,17.9506739369216,0.018249078586984
252,ZTF_g,P48+ZTF,58643.4266782,18.4806905747024,0.018244955468802
253,ZTF_g,P48+ZTF,58637.2663079,18.5609861016808,0.014820036560884
254,ZTF_g,P48+ZTF,58638.3517014,18.5284467119217,0.014589508129166
255,ZTF_r,P48+ZTF,58645.3146065,18.316052745638,0.018374560380908
256,ZTF_r,P48+ZTF,58678.2132986,18.1440888764138,0.020730627759105
257,ZTF_r,P48+ZTF,58605.4004282,20.5093113853941,0.102443555470728
258,ZTF_i,P48+ZTF,59045.3078241,18.8706688060302,0.038392747303381
259,ZTF_i,P48+ZTF,58633.2830556,18.5712675146048,0.034517118179444
260,ZTF_g,P48+ZTF,58643.333287,18.4409055593444,0.015741852031428
261,ZTF_g,P48+ZTF,58569.400463,99,99
262,ZTF_r,P48+ZTF,58582.4487269,99,99
263,ZTF_g,P48+ZTF,58741.1302083,18.5406787357572,0.035372809026433
264,ZTF_i,P48+ZTF,58586.5052662,99,99
265,ZTF_i,P48+ZTF,59015.372581,18.7908711766807,0.031047566889927
266,ZTF_r,P48+ZTF,58575.4759028,99,99
267,ZTF_g,P48+ZTF,58584.4508218,99,99
268,ZTF_r,P48+ZTF,58569.481794,99,99
269,ZTF_r,P48+ZTF,58663.3172338,18.1435678692774,0.013062018615118
270,ZTF_g,P48+ZTF,58658.2168981,18.2860854539368,0.012636982919174
271,ZTF_r,P48+ZTF,58663.3039005,18.103553300134,0.010975647672821
272,ZTF_r,P48+ZTF,58795.0777431,18.5236440896718,0.051146098214372
273,ZTF_g,P48+ZTF,58646.3185301,18.3681615319396,0.025756700543178
274,ZTF_g,P48+ZTF,58657.2373727,18.3043636454431,0.0134555271035
275,ZTF_g,P48+ZTF,58733.1693519,18.4730587202389,0.026550029822446
276,ZTF_i,P48+ZTF,58616.3191088,19.3414065707707,0.063880518652094
277,ZTF_r,P48+ZTF,58587.4147338,99,99
278,ZTF_r,P48+ZTF,58581.4017014,99,99
279,ZTF_r,P48+ZTF,58580.4628472,99,99
280,ZTF_g,P48+ZTF,58573.4686806,99,99
281,ZTF_i,P48+ZTF,58751.1200347,18.193515954278,0.032491640584044
282,ZTF_i,P48+ZTF,59005.3648843,99,99
283,ZTF_g,P48+ZTF,58641.2112384,18.5336343229152,0.020592935761118
284,ZTF_g,P48+ZTF,58647.3695602,18.3975275102898,0.026396527620149
285,ZTF_g,P48+ZTF,58718.1508796,18.3032397750985,0.014949124672063
286,ZTF_g,P48+ZTF,58665.2132523,18.2859283557162,0.01139018132633
287,ZTF_r,P48+ZTF,58573.4403588,99,99
288,ZTF_g,P48+ZTF,58587.4828009,99,99
289,ZTF_g,P48+ZTF,58705.2540741,18.1142832872629,0.020064231682496
290,ZTF_g,P48+ZTF,58691.2275231,18.2320287424395,0.010967142686883
291,ZTF_g,P48+ZTF,58666.2345949,18.3078728017739,0.012372553939251
292,ZTF_r,P48+ZTF,58584.3984028,99,99
293,ZTF_g,P48+ZTF,58709.1699769,18.2084200983032,0.024777532533372
294,ZTF_g,P48+ZTF,58657.2350694,18.3059935243841,0.013664527059685
295,ZTF_r,P48+ZTF,58540.5472338,99,99
296,ZTF_g,P48+ZTF,58681.1856019,18.2253938663148,0.031738751588222
297,ZTF_r,P48+ZTF,58775.1026042,18.5002303813793,0.024103693232916
298,ZTF_g,P48+ZTF,58727.1702778,18.423329876784,0.015275421347161
299,ZTF_g,P48+ZTF,58639.2565046,18.4730790407999,0.01465854902532
300,ZTF_g,P48+ZTF,58697.2069676,18.2072903997461,0.011282750046429
301,ZTF_r,P48+ZTF,58666.2538542,18.1893486024027,0.012186928780736
302,ZTF_g,P48+ZTF,58598.4440278,99,99
303,ZTF_g,P48+ZTF,58572.4841204,99,99
304,ZTF_r,P48+ZTF,58654.2123264,18.2123754815269,0.013560370799453
305,ZTF_i,P48+ZTF,58652.2564236,18.1928010010693,0.03545752393197
306,ZTF_r,P48+ZTF,58642.2449769,18.3599665246227,0.013496334940109
307,ZTF_r,P48+ZTF,58657.3823495,18.2314389399334,0.020085506501845
308,ZTF_r,P48+ZTF,58761.1200116,18.5042384203607,0.025793255876078
309,ZTF_i,P48+ZTF,58640.2980208,18.3566607355019,0.023118290549215
310,ZTF_g,P48+ZTF,58701.2083218,99,99
311,ZTF_r,P48+ZTF,58596.4168403,99,99
312,ZTF_r,P48+ZTF,58580.4805903,99,99
313,ZTF_r,P48+ZTF,58663.3025116,18.1637103924375,0.012884367445411
314,ZTF_i,P48+ZTF,58663.1844676,18.0807406807619,0.022343659653773
315,ZTF_g,P48+ZTF,58600.39875,21.1410806069293,0.143374553696419
316,ZTF_g,P48+ZTF,58572.5217708,99,99
317,ZTF_r,P48+ZTF,58574.330162,99,99
318,ZTF_r,P48+ZTF,58294.3097106,99,99
319,ZTF_g,P48+ZTF,58764.1999769,18.6637674741285,0.068055514034497
320,ZTF_r,P48+ZTF,58388.221713,99,99
321,ZTF_g,P48+ZTF,58386.1251968,99,99
322,ZTF_r,P48+ZTF,58387.1445718,99,99
323,ZTF_r,P48+ZTF,58362.1529514,99,99
324,ZTF_i,P48+ZTF,58986.333912,18.5859403866756,0.026040142827134
325,ZTF_r,P48+ZTF,58384.1511806,99,99
326,ZTF_g,P48+ZTF,58249.3534259,99,99
327,ZTF_i,P48+ZTF,58278.1822917,99,99
328,ZTF_r,P48+ZTF,58355.2529282,99,99
329,ZTF_g,P48+ZTF,58574.3770833,99,99
330,ZTF_g,P48+ZTF,58361.1851852,99,99
331,ZTF_g,P48+ZTF,58374.2456366,99,99
332,ZTF_g,P48+ZTF,58381.1702662,99,99
333,ZTF_g,P48+ZTF,58352.1902546,99,99
334,ZTF_r,P48+ZTF,58359.2473843,99,99
335,ZTF_r,P48+ZTF,58377.1446991,99,99
336,ZTF_g,P48+ZTF,58386.1120255,99,99
337,ZTF_g,P48+ZTF,58383.2116088,99,99
338,ZTF_r,P48+ZTF,58389.1114699,99,99
339,ZTF_g,P48+ZTF,58375.2131134,99,99
340,ZTF_g,P48+ZTF,58380.172662,99,99
341,ZTF_r,P48+ZTF,58390.2218287,99,99
342,ZTF_g,P48+ZTF,58386.1422569,99,99
343,ZTF_g,P48+ZTF,58289.3995255,99,99
344,ZTF_g,P48+ZTF,58371.2049769,99,99
345,ZTF_r,P48+ZTF,58289.2689815,99,99
346,ZTF_r,P48+ZTF,58375.1720833,99,99
347,ZTF_r,P48+ZTF,58350.1932176,99,99
348,ZTF_r,P48+ZTF,58290.3724537,99,99
349,ZTF_g,P48+ZTF,58311.2537269,99,99
350,ZTF_g,P48+ZTF,58556.4448958,99,99
351,ZTF_g,P48+ZTF,58557.4570139,99,99
352,ZTF_g,P48+ZTF,58235.3790972,99,99
353,ZTF g,P48+ZTF,58210.4850463,99,99
354,ZTF g,P48+ZTF,58210.4485301,99,99
355,ZTF_r,P48+ZTF,58543.4766898,99,99
356,ZTF g,P48+ZTF,58211.4223611,99,99
357,ZTF_r,P48+ZTF,58572.4760185,99,99
358,ZTF_g,P48+ZTF,58320.1895949,99,99
359,ZTF_g,P48+ZTF,58385.1302315,99,99
360,ZTF_g,P48+ZTF,58389.1294792,99,99
361,ZTF_r,P48+ZTF,58385.1905787,99,99
362,ZTF_r,P48+ZTF,58353.2478819,99,99
363,ZTF_g,P48+ZTF,58369.2466435,99,99
364,ZTF_r,P48+ZTF,58353.2464699,99,99
365,ZTF_r,P48+ZTF,58382.1138079,99,99
366,ZTF_r,P48+ZTF,58383.1513657,99,99
367,ZTF_r,P48+ZTF,58383.1323843,99,99
368,ZTF_r,P48+ZTF,58385.2103935,99,99
369,ZTF_g,P48+ZTF,58397.0993403,99,99
370,ZTF_r,P48+ZTF,58575.4189583,99,99
371,ZTF_g,P48+ZTF,58319.1898264,99,99
372,ZTF_g,P48+ZTF,58350.2498611,99,99
373,ZTF_g,P48+ZTF,58540.4979282,99,99
374,ZTF_r,P48+ZTF,58386.1967245,99,99
375,ZTF g,P48+ZTF,58210.4631481,99,99
376,ZTF_r,P48+ZTF,58354.2495949,99,99
377,ZTF_g,P48+ZTF,58383.2068403,99,99
378,ZTF_r,P48+ZTF,58352.2575579,99,99
379,ZTF_r,P48+ZTF,58386.214919,99,99
380,ZTF_g,P48+ZTF,58304.3111921,99,99
381,ZTF_g,P48+ZTF,58311.3259606,99,99
382,ZTF_g,P48+ZTF,58227.3364005,99,99
383,ZTF_r,P48+ZTF,58383.1123611,99,99
384,ZTF_r,P48+ZTF,58541.5018634,99,99
385,ZTF_g,P48+ZTF,58543.5266319,99,99
386,ZTF_g,P48+ZTF,58380.117662,99,99
387,ZTF_g,P48+ZTF,58301.2751273,99,99
388,ZTF_r,P48+ZTF,58360.2345949,99,99
389,ZTF_g,P48+ZTF,58384.2375231,99,99
390,ZTF_g,P48+ZTF,58365.2142477,99,99
391,ZTF_g,P48+ZTF,58364.2146875,99,99
392,ZTF_r,P48+ZTF,58326.3330556,99,99
393,ZTF_g,P48+ZTF,58382.2214815,99,99
394,ZTF_g,P48+ZTF,58323.3656481,99,99
395,ZTF_g,P48+ZTF,58377.2444907,99,99
396,ZTF_g,P48+ZTF,58382.2058681,99,99
397,ZTF_r,P48+ZTF,58543.4757755,99,99
398,ZTF_g,P48+ZTF,58390.1317477,99,99
